Gene_Original	Gene_Query	Status	UniProt_ID	Entry_Name	Curacao	Nome_Proteina	Gene_Primario_UniProt	Sinonimos	Tamanho_aa	Link_UniProt
TNFRSF10A	TNFRSF10A	Mapeado	O00220	TR10A_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor receptor superfamily member 10A	TNFRSF10A	APO2, DR4, TRAILR1	468	https://www.uniprot.org/uniprotkb/O00220/entry
RETN	RETN	Mapeado	Q9HD89	RETN_HUMAN	Swiss-Prot (Reviewed)	Resistin	RETN	FIZZ3, HXCP1, RSTN	108	https://www.uniprot.org/uniprotkb/Q9HD89/entry
IL2	IL2	Mapeado	P60568	IL2_HUMAN	Swiss-Prot (Reviewed)	Interleukin-2	IL2		153	https://www.uniprot.org/uniprotkb/P60568/entry
IL4	IL4	Mapeado	P05112	IL4_HUMAN	Swiss-Prot (Reviewed)	Interleukin-4	IL4		153	https://www.uniprot.org/uniprotkb/P05112/entry
IL5	IL5	Mapeado	P05113	IL5_HUMAN	Swiss-Prot (Reviewed)	Interleukin-5	IL5		134	https://www.uniprot.org/uniprotkb/P05113/entry
CCRL2	CCRL2	Mapeado	O00421	CCRL2_HUMAN	Swiss-Prot (Reviewed)	C-C chemokine receptor-like 2	CCRL2	CCR11, CCR6, CKRX, CRAM, HCR	344	https://www.uniprot.org/uniprotkb/O00421/entry
EGF	EGF	Mapeado	P01133	EGF_HUMAN	Swiss-Prot (Reviewed)	Pro-epidermal growth factor	EGF		1207	https://www.uniprot.org/uniprotkb/P01133/entry
ALB	ALB	Mapeado	P02768	ALBU_HUMAN	Swiss-Prot (Reviewed)	Albumin	ALB		609	https://www.uniprot.org/uniprotkb/P02768/entry
NOD2	NOD2	Mapeado	Q9HC29	NOD2_HUMAN	Swiss-Prot (Reviewed)	Nucleotide-binding oligomerization domain-containing protein 2	NOD2	CARD15	1040	https://www.uniprot.org/uniprotkb/Q9HC29/entry
GPT	GPT	Mapeado	P24298	ALAT1_HUMAN	Swiss-Prot (Reviewed)	Alanine aminotransferase 1	GPT	AAT1, GPT1	496	https://www.uniprot.org/uniprotkb/P24298/entry
IL13	IL13	Mapeado	P35225	IL13_HUMAN	Swiss-Prot (Reviewed)	Interleukin-13	IL13	NC30	146	https://www.uniprot.org/uniprotkb/P35225/entry
CD28	CD28	Mapeado	P10747	CD28_HUMAN	Swiss-Prot (Reviewed)	T-cell-specific surface glycoprotein CD28	CD28		220	https://www.uniprot.org/uniprotkb/P10747/entry
PRTN3	PRTN3	Mapeado	P24158	PRTN3_HUMAN	Swiss-Prot (Reviewed)	Myeloblastin	PRTN3	MBN	256	https://www.uniprot.org/uniprotkb/P24158/entry
MMP1	MMP1	Mapeado	P03956	MMP1_HUMAN	Swiss-Prot (Reviewed)	Interstitial collagenase	MMP1	CLG	469	https://www.uniprot.org/uniprotkb/P03956/entry
IFNA1	IFNA1	Mapeado	P0DY56	IFNA1_HUMAN	Swiss-Prot (Reviewed)	Interferon alpha-1	IFNA1		189	https://www.uniprot.org/uniprotkb/P0DY56/entry
INS	INS	Mapeado	P01308	INS_HUMAN	Swiss-Prot (Reviewed)	Insulin	INS		110	https://www.uniprot.org/uniprotkb/P01308/entry
ACE	ACE	Mapeado	P12821	ACE_HUMAN	Swiss-Prot (Reviewed)	Angiotensin-converting enzyme	ACE	DCP, DCP1	1306	https://www.uniprot.org/uniprotkb/P12821/entry
IL1RN	IL1RN	Mapeado	P18510	IL1RA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 receptor antagonist protein	IL1RN	IL1F3, IL1RA	177	https://www.uniprot.org/uniprotkb/P18510/entry
CD40LG	CD40LG	Mapeado	P29965	CD40L_HUMAN	Swiss-Prot (Reviewed)	CD40 ligand	CD40LG	CD40L, TNFSF5, TRAP	261	https://www.uniprot.org/uniprotkb/P29965/entry
TNFRSF1B	TNFRSF1B	Mapeado	P20333	TNR1B_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	TNFBR, TNFR2	461	https://www.uniprot.org/uniprotkb/P20333/entry
EDNRA	EDNRA	Mapeado	P25101	EDNRA_HUMAN	Swiss-Prot (Reviewed)	Endothelin-1 receptor	EDNRA	ETA, ETRA	427	https://www.uniprot.org/uniprotkb/P25101/entry
PTH	PTH	Mapeado	P01270	PTHY_HUMAN	Swiss-Prot (Reviewed)	Parathyroid hormone	PTH		115	https://www.uniprot.org/uniprotkb/P01270/entry
TYK2	TYK2	Mapeado	P29597	TYK2_HUMAN	Swiss-Prot (Reviewed)	Non-receptor tyrosine-protein kinase TYK2	TYK2		1187	https://www.uniprot.org/uniprotkb/P29597/entry
NOS2	NOS2	Mapeado	P35228	NOS2_HUMAN	Swiss-Prot (Reviewed)	Nitric oxide synthase, inducible	NOS2	NOS2A	1153	https://www.uniprot.org/uniprotkb/P35228/entry
FCGR2A	FCGR2A	Mapeado	P12318	FCG2A_HUMAN	Swiss-Prot (Reviewed)	Low affinity immunoglobulin gamma Fc region receptor II-a	FCGR2A	CD32, FCG2, FCGR2A1, IGFR2	317	https://www.uniprot.org/uniprotkb/P12318/entry
SERPINE1	SERPINE1	Mapeado	P05121	PAI1_HUMAN	Swiss-Prot (Reviewed)	Plasminogen activator inhibitor 1	SERPINE1	PAI1, PLANH1	402	https://www.uniprot.org/uniprotkb/P05121/entry
TGFB1	TGFB1	Mapeado	P01137	TGFB1_HUMAN	Swiss-Prot (Reviewed)	Transforming growth factor beta-1 proprotein	TGFB1	TGFB	390	https://www.uniprot.org/uniprotkb/P01137/entry
TRAF5	TRAF5	Mapeado	O00463	TRAF5_HUMAN	Swiss-Prot (Reviewed)	TNF receptor-associated factor 5	TRAF5	RNF84	557	https://www.uniprot.org/uniprotkb/O00463/entry
TRAF2	TRAF2	Mapeado	Q12933	TRAF2_HUMAN	Swiss-Prot (Reviewed)	TNF receptor-associated factor 2	TRAF2	TRAP3	501	https://www.uniprot.org/uniprotkb/Q12933/entry
AREG	AREG	Mapeado	P15514	AREG_HUMAN	Swiss-Prot (Reviewed)	Amphiregulin	AREG	AREGB, SDGF	252	https://www.uniprot.org/uniprotkb/P15514/entry
BRAF	BRAF	Mapeado	P15056	BRAF_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase B-raf	BRAF	BRAF1, RAFB1	766	https://www.uniprot.org/uniprotkb/P15056/entry
PHEX	PHEX	Mapeado	P78562	PHEX_HUMAN	Swiss-Prot (Reviewed)	Phosphate-regulating neutral endopeptidase PHEX	PHEX	PEX	749	https://www.uniprot.org/uniprotkb/P78562/entry
KIR3DL2	KIR3DL2	Mapeado	P43630	KI3L2_HUMAN	Swiss-Prot (Reviewed)	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	CD158K, NKAT4	455	https://www.uniprot.org/uniprotkb/P43630/entry
SYT1	SYT1	Mapeado	P21579	SYT1_HUMAN	Swiss-Prot (Reviewed)	Synaptotagmin-1	SYT1	SVP65, SYT	422	https://www.uniprot.org/uniprotkb/P21579/entry
COL1A1	COL1A1	Mapeado	P02452	CO1A1_HUMAN	Swiss-Prot (Reviewed)	Collagen alpha-1(I) chain	COL1A1		1464	https://www.uniprot.org/uniprotkb/P02452/entry
FCGR3A	FCGR3A	Mapeado	P08637	FCG3A_HUMAN	Swiss-Prot (Reviewed)	Low affinity immunoglobulin gamma Fc region receptor III-A	FCGR3A	CD16A, FCG3, FCGR3, IGFR3	254	https://www.uniprot.org/uniprotkb/P08637/entry
RUNX2	RUNX2	Mapeado	Q13950	RUNX2_HUMAN	Swiss-Prot (Reviewed)	Runt-related transcription factor 2	RUNX2	AML3, CBFA1, OSF2, PEBP2A	521	https://www.uniprot.org/uniprotkb/Q13950/entry
SOCS1	SOCS1	Mapeado	O15524	SOCS1_HUMAN	Swiss-Prot (Reviewed)	Suppressor of cytokine signaling 1	SOCS1	SSI1, TIP3	211	https://www.uniprot.org/uniprotkb/O15524/entry
MEFV	MEFV	Mapeado	O15553	MEFV_HUMAN	Swiss-Prot (Reviewed)	Pyrin	MEFV	MEF, TRIM20	781	https://www.uniprot.org/uniprotkb/O15553/entry
RPS6KB1	RPS6KB1	Mapeado	P23443	KS6B1_HUMAN	Swiss-Prot (Reviewed)	Ribosomal protein S6 kinase beta-1	RPS6KB1	STK14A	525	https://www.uniprot.org/uniprotkb/P23443/entry
TNIP1	TNIP1	Mapeado	Q15025	TNIP1_HUMAN	Swiss-Prot (Reviewed)	TNFAIP3-interacting protein 1	TNIP1	KIAA0113, NAF1	636	https://www.uniprot.org/uniprotkb/Q15025/entry
TRAF4	TRAF4	Mapeado	Q9BUZ4	TRAF4_HUMAN	Swiss-Prot (Reviewed)	TNF receptor-associated factor 4	TRAF4	CART1, MLN62, RNF83	470	https://www.uniprot.org/uniprotkb/Q9BUZ4/entry
BMP2	BMP2	Mapeado	P12643	BMP2_HUMAN	Swiss-Prot (Reviewed)	Bone morphogenetic protein 2	BMP2	BMP2A	396	https://www.uniprot.org/uniprotkb/P12643/entry
MCAM	MCAM	Mapeado	P43121	MUC18_HUMAN	Swiss-Prot (Reviewed)	Cell surface glycoprotein MUC18	MCAM	MUC18	646	https://www.uniprot.org/uniprotkb/P43121/entry
HHAT	HHAT	Mapeado	Q5VTY9	HHAT_HUMAN	Swiss-Prot (Reviewed)	Protein-cysteine N-palmitoyltransferase HHAT	HHAT	MART2, SKI1	493	https://www.uniprot.org/uniprotkb/Q5VTY9/entry
IRS1	IRS1	Mapeado	P35568	IRS1_HUMAN	Swiss-Prot (Reviewed)	Insulin receptor substrate 1	IRS1		1242	https://www.uniprot.org/uniprotkb/P35568/entry
GATA3	GATA3	Mapeado	P23771	GATA3_HUMAN	Swiss-Prot (Reviewed)	Trans-acting T-cell-specific transcription factor GATA-3	GATA3		443	https://www.uniprot.org/uniprotkb/P23771/entry
IL1F10	IL1F10	Mapeado	Q8WWZ1	IL1FA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 family member 10	IL1F10	FIL1T, IL1HY2, IL38	152	https://www.uniprot.org/uniprotkb/Q8WWZ1/entry
HSPA5	HSPA5	Mapeado	P11021	BIP_HUMAN	Swiss-Prot (Reviewed)	Endoplasmic reticulum chaperone BiP	HSPA5	GRP78	654	https://www.uniprot.org/uniprotkb/P11021/entry
IFIH1	IFIH1	Mapeado	Q9BYX4	IFIH1_HUMAN	Swiss-Prot (Reviewed)	Interferon-induced helicase C domain-containing protein 1	IFIH1	MDA5, RH116	1025	https://www.uniprot.org/uniprotkb/Q9BYX4/entry
RBM45	RBM45	Mapeado	Q8IUH3	RBM45_HUMAN	Swiss-Prot (Reviewed)	RNA-binding protein 45	RBM45	DRB1, DRBP1	476	https://www.uniprot.org/uniprotkb/Q8IUH3/entry
TNFSF10	TNFSF10	Mapeado	P50591	TNF10_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor ligand superfamily member 10	TNFSF10	APO2L, TRAIL	281	https://www.uniprot.org/uniprotkb/P50591/entry
GEM	GEM	Mapeado	P55040	GEM_HUMAN	Swiss-Prot (Reviewed)	GTP-binding protein GEM	GEM	KIR	296	https://www.uniprot.org/uniprotkb/P55040/entry
CD38	CD38	Mapeado	P28907	CD38_HUMAN	Swiss-Prot (Reviewed)	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38		300	https://www.uniprot.org/uniprotkb/P28907/entry
CUX1	CUX1	Mapeado	P39880	CUX1_HUMAN	Swiss-Prot (Reviewed)	Homeobox protein cut-like 1	CUX1	CUTL1	1505	https://www.uniprot.org/uniprotkb/P39880/entry
WNK1	WNK1	Mapeado	Q9H4A3	WNK1_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase WNK1	WNK1	HSN2, KDP, KIAA0344, PRKWNK1	2382	https://www.uniprot.org/uniprotkb/Q9H4A3/entry
AQP1	AQP1	Mapeado	P29972	AQP1_HUMAN	Swiss-Prot (Reviewed)	Aquaporin-1	AQP1	CHIP28	269	https://www.uniprot.org/uniprotkb/P29972/entry
SAA1	SAA1	Mapeado	P0DJI8	SAA1_HUMAN	Swiss-Prot (Reviewed)	Serum amyloid A-1 protein	SAA1		122	https://www.uniprot.org/uniprotkb/P0DJI8/entry
ITGAL	ITGAL	Mapeado	P20701	ITAL_HUMAN	Swiss-Prot (Reviewed)	Integrin alpha-L	ITGAL	CD11A	1170	https://www.uniprot.org/uniprotkb/P20701/entry
DLAT	DLAT	Mapeado	P10515	ODP2_HUMAN	Swiss-Prot (Reviewed)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	DLAT	DLTA	647	https://www.uniprot.org/uniprotkb/P10515/entry
CYP1A1	CYP1A1	Mapeado	P04798	CP1A1_HUMAN	Swiss-Prot (Reviewed)	Cytochrome P450 1A1	CYP1A1		512	https://www.uniprot.org/uniprotkb/P04798/entry
TIMP1	TIMP1	Mapeado	P01033	TIMP1_HUMAN	Swiss-Prot (Reviewed)	Metalloproteinase inhibitor 1	TIMP1	CLGI, TIMP	207	https://www.uniprot.org/uniprotkb/P01033/entry
PRF1	PRF1	Mapeado	P14222	PERF_HUMAN	Swiss-Prot (Reviewed)	Perforin-1	PRF1	PFP	555	https://www.uniprot.org/uniprotkb/P14222/entry
ERN1	ERN1	Mapeado	O75460	ERN1_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase/endoribonuclease IRE1	ERN1	IRE1	977	https://www.uniprot.org/uniprotkb/O75460/entry
SEC14L2	SEC14L2	Mapeado	O76054	S14L2_HUMAN	Swiss-Prot (Reviewed)	SEC14-like protein 2	SEC14L2	C22orf6, KIAA1186, KIAA1658	403	https://www.uniprot.org/uniprotkb/O76054/entry
UQCR10	UQCR10	Mapeado	Q9UDW1	QCR9_HUMAN	Swiss-Prot (Reviewed)	Cytochrome b-c1 complex subunit 9	UQCR10	UCRC	63	https://www.uniprot.org/uniprotkb/Q9UDW1/entry
MIR21	MIR21	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
CAST	CAST	Mapeado	P20810	ICAL_HUMAN	Swiss-Prot (Reviewed)	Calpastatin	CAST		708	https://www.uniprot.org/uniprotkb/P20810/entry
PDLIM7	PDLIM7	Mapeado	Q9NR12	PDLI7_HUMAN	Swiss-Prot (Reviewed)	PDZ and LIM domain protein 7	PDLIM7	ENIGMA	457	https://www.uniprot.org/uniprotkb/Q9NR12/entry
VDR	VDR	Mapeado	P11473	VDR_HUMAN	Swiss-Prot (Reviewed)	Vitamin D3 receptor	VDR	NR1I1	427	https://www.uniprot.org/uniprotkb/P11473/entry
UBE2L3	UBE2L3	Mapeado	P68036	UB2L3_HUMAN	Swiss-Prot (Reviewed)	Ubiquitin-conjugating enzyme E2 L3	UBE2L3	UBCE7, UBCH7	154	https://www.uniprot.org/uniprotkb/P68036/entry
CREM	CREM	Mapeado	Q03060	CREM_HUMAN	Swiss-Prot (Reviewed)	cAMP-responsive element modulator	CREM		345	https://www.uniprot.org/uniprotkb/Q03060/entry
PPARGC1B	PPARGC1B	Mapeado	Q86YN6	PRGC2_HUMAN	Swiss-Prot (Reviewed)	Peroxisome proliferator-activated receptor gamma coactivator 1-beta	PPARGC1B	PERC, PGC1, PGC1B, PPARGC1	1023	https://www.uniprot.org/uniprotkb/Q86YN6/entry
MBL2	MBL2	Mapeado	P11226	MBL2_HUMAN	Swiss-Prot (Reviewed)	Mannose-binding protein C	MBL2	COLEC1, MBL	248	https://www.uniprot.org/uniprotkb/P11226/entry
ADGRL2	ADGRL2	Mapeado	O95490	AGRL2_HUMAN	Swiss-Prot (Reviewed)	Adhesion G protein-coupled receptor L2	ADGRL2	KIAA0786, LEC1, LPHH1, LPHN2	1459	https://www.uniprot.org/uniprotkb/O95490/entry
LINC01185	LINC01185	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
TRBV20OR9-2	TRBV20OR9-2	Mapeado	A0A075B6H5	A0A075B6H5_HUMAN	TrEMBL (Unreviewed)	T cell receptor beta variable 20/OR9-2 (non-functional)	TRBV20OR9-2		111	https://www.uniprot.org/uniprotkb/A0A075B6H5/entry
SERPINA1	SERPINA1	Mapeado	P01009	A1AT_HUMAN	Swiss-Prot (Reviewed)	Alpha-1-antitrypsin	SERPINA1	AAT, PI	418	https://www.uniprot.org/uniprotkb/P01009/entry
HLA-A	HLA-A	Mapeado	P04439	HLAA_HUMAN	Swiss-Prot (Reviewed)	HLA class I histocompatibility antigen, A alpha chain	HLA-A	HLAA	365	https://www.uniprot.org/uniprotkb/P04439/entry
HLA-C	HLA-C	Mapeado	P10321	HLAC_HUMAN	Swiss-Prot (Reviewed)	HLA class I histocompatibility antigen, C alpha chain	HLA-C	HLAC	366	https://www.uniprot.org/uniprotkb/P10321/entry
HLA-DRB1	HLA-DRB1	Mapeado	P01911	DRB1_HUMAN	Swiss-Prot (Reviewed)	HLA class II histocompatibility antigen, DRB1 beta chain	HLA-DRB1		266	https://www.uniprot.org/uniprotkb/P01911/entry
KIR2DS1	KIR2DS1	Mapeado	Q14954	KI2S1_HUMAN	Swiss-Prot (Reviewed)	Killer cell immunoglobulin-like receptor 2DS1	KIR2DS1	CD158H	304	https://www.uniprot.org/uniprotkb/Q14954/entry
IL36RN	IL36RN	Mapeado	Q9UBH0	I36RA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-36 receptor antagonist protein	IL36RN	FIL1D, IL1F5, IL1HY1, IL1L1, IL1RP3	155	https://www.uniprot.org/uniprotkb/Q9UBH0/entry
MT-CO2 / COX2	MT-CO2	Mapeado	P00403	COX2_HUMAN	Swiss-Prot (Reviewed)	Cytochrome c oxidase subunit 2	MT-CO2	COII, COX2, COXII, MTCO2	227	https://www.uniprot.org/uniprotkb/P00403/entry
MT-CO2 / COX2	COX2	Mapeado	P35354	PGH2_HUMAN	Swiss-Prot (Reviewed)	Prostaglandin G/H synthase 2	PTGS2	COX2	604	https://www.uniprot.org/uniprotkb/P35354/entry
RPS19	RPS19	Mapeado	P39019	RS19_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein eS19	RPS19		145	https://www.uniprot.org/uniprotkb/P39019/entry
CD3E	CD3E	Mapeado	P07766	CD3E_HUMAN	Swiss-Prot (Reviewed)	T-cell surface glycoprotein CD3 epsilon chain	CD3E	T3E	207	https://www.uniprot.org/uniprotkb/P07766/entry
TYMP	TYMP	Mapeado	P19971	TYPH_HUMAN	Swiss-Prot (Reviewed)	Thymidine phosphorylase	TYMP	ECGF1	482	https://www.uniprot.org/uniprotkb/P19971/entry
SF3B1	SF3B1	Mapeado	O75533	SF3B1_HUMAN	Swiss-Prot (Reviewed)	Splicing factor 3B subunit 1	SF3B1	SAP155	1304	https://www.uniprot.org/uniprotkb/O75533/entry
SMARCA4	SMARCA4	Mapeado	P51532	SMCA4_HUMAN	Swiss-Prot (Reviewed)	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4	SMARCA4	BAF190A, BRG1, SNF2B, SNF2L4	1647	https://www.uniprot.org/uniprotkb/P51532/entry
RPL15	RPL15	Mapeado	P61313	RL15_HUMAN	Swiss-Prot (Reviewed)	Large ribosomal subunit protein eL15	RPL15	EC45	204	https://www.uniprot.org/uniprotkb/P61313/entry
SH3BGRL3	SH3BGRL3	Mapeado	Q9H299	SH3L3_HUMAN	Swiss-Prot (Reviewed)	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3		93	https://www.uniprot.org/uniprotkb/Q9H299/entry
PLA2G4D	PLA2G4D	Mapeado	Q86XP0	PA24D_HUMAN	Swiss-Prot (Reviewed)	Cytosolic phospholipase A2 delta	PLA2G4D		818	https://www.uniprot.org/uniprotkb/Q86XP0/entry
BNIP3L	BNIP3L	Mapeado	O60238	BNI3L_HUMAN	Swiss-Prot (Reviewed)	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3L	BNIP3A, BNIP3H, NIX	219	https://www.uniprot.org/uniprotkb/O60238/entry
ERP44	ERP44	Mapeado	Q9BS26	ERP44_HUMAN	Swiss-Prot (Reviewed)	Endoplasmic reticulum resident protein 44	ERP44	KIAA0573, TXNDC4	406	https://www.uniprot.org/uniprotkb/Q9BS26/entry
MSN	MSN	Mapeado	P26038	MOES_HUMAN	Swiss-Prot (Reviewed)	Moesin	MSN		577	https://www.uniprot.org/uniprotkb/P26038/entry
IFI16	IFI16	Mapeado	Q16666	IF16_HUMAN	Swiss-Prot (Reviewed)	Gamma-interferon-inducible protein 16	IFI16	IFNGIP1	785	https://www.uniprot.org/uniprotkb/Q16666/entry
SPCS3	SPCS3	Mapeado	P61009	SPCS3_HUMAN	Swiss-Prot (Reviewed)	Signal peptidase complex subunit 3	SPCS3	SPC22	180	https://www.uniprot.org/uniprotkb/P61009/entry
PSMC2	PSMC2	Mapeado	P35998	PRS7_HUMAN	Swiss-Prot (Reviewed)	26S proteasome regulatory subunit 7	PSMC2	MSS1	433	https://www.uniprot.org/uniprotkb/P35998/entry
CCND3	CCND3	Mapeado	P30281	CCND3_HUMAN	Swiss-Prot (Reviewed)	G1/S-specific cyclin-D3	CCND3		292	https://www.uniprot.org/uniprotkb/P30281/entry
MCL1	MCL1	Mapeado	Q07820	MCL1_HUMAN	Swiss-Prot (Reviewed)	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	BCL2L3	350	https://www.uniprot.org/uniprotkb/Q07820/entry
MTHFR	MTHFR	Mapeado	P42898	MTHR_HUMAN	Swiss-Prot (Reviewed)	Methylenetetrahydrofolate reductase (NADPH)	MTHFR		656	https://www.uniprot.org/uniprotkb/P42898/entry
TMBIM6	TMBIM6	Mapeado	P55061	BI1_HUMAN	Swiss-Prot (Reviewed)	Bax inhibitor 1	TMBIM6	BI1, TEGT	237	https://www.uniprot.org/uniprotkb/P55061/entry
SAMD9	SAMD9	Mapeado	Q5K651	SAMD9_HUMAN	Swiss-Prot (Reviewed)	Sterile alpha motif domain-containing protein 9	SAMD9	C7orf5, DRIF1, KIAA2004, OEF1	1589	https://www.uniprot.org/uniprotkb/Q5K651/entry
MIX23	MIX23	Mapeado	Q4VC31	MIX23_HUMAN	Swiss-Prot (Reviewed)	Protein MIX23	MIX23	CCDC58	144	https://www.uniprot.org/uniprotkb/Q4VC31/entry
SF3B3	SF3B3	Mapeado	Q15393	SF3B3_HUMAN	Swiss-Prot (Reviewed)	Splicing factor 3B subunit 3	SF3B3	KIAA0017, SAP130	1217	https://www.uniprot.org/uniprotkb/Q15393/entry
CCR2	CCR2	Mapeado	P41597	CCR2_HUMAN	Swiss-Prot (Reviewed)	C-C chemokine receptor type 2	CCR2	CMKBR2	374	https://www.uniprot.org/uniprotkb/P41597/entry
PFKL	PFKL	Mapeado	P17858	PFKAL_HUMAN	Swiss-Prot (Reviewed)	ATP-dependent 6-phosphofructokinase, liver type	PFKL		780	https://www.uniprot.org/uniprotkb/P17858/entry
YOD1	YOD1	Mapeado	Q5VVQ6	OTU1_HUMAN	Swiss-Prot (Reviewed)	Ubiquitin thioesterase OTU1	YOD1	DUBA8, HIN7, OTUD2	348	https://www.uniprot.org/uniprotkb/Q5VVQ6/entry
CYCS	CYCS	Mapeado	P99999	CYC_HUMAN	Swiss-Prot (Reviewed)	Cytochrome c	CYCS	CYC	105	https://www.uniprot.org/uniprotkb/P99999/entry
CD52	CD52	Mapeado	P31358	CD52_HUMAN	Swiss-Prot (Reviewed)	CAMPATH-1 antigen	CD52	CDW52, HE5	61	https://www.uniprot.org/uniprotkb/P31358/entry
CASP10	CASP10	Mapeado	Q92851	CASPA_HUMAN	Swiss-Prot (Reviewed)	Caspase-10	CASP10	MCH4	521	https://www.uniprot.org/uniprotkb/Q92851/entry
CD36	CD36	Mapeado	P16671	CD36_HUMAN	Swiss-Prot (Reviewed)	Platelet glycoprotein 4	CD36	GP3B, GP4	472	https://www.uniprot.org/uniprotkb/P16671/entry
ZC3H12A	ZC3H12A	Mapeado	Q5D1E8	ZC12A_HUMAN	Swiss-Prot (Reviewed)	Endoribonuclease ZC3H12A	ZC3H12A	MCPIP, MCPIP1	599	https://www.uniprot.org/uniprotkb/Q5D1E8/entry
ZFP36	ZFP36	Mapeado	P26651	TTP_HUMAN	Swiss-Prot (Reviewed)	mRNA decay activator protein ZFP36	ZFP36	G0S24, NUP475, RNF162A, TIS11A, TTP	326	https://www.uniprot.org/uniprotkb/P26651/entry
WDR1	WDR1	Mapeado	O75083	WDR1_HUMAN	Swiss-Prot (Reviewed)	WD repeat-containing protein 1	WDR1		606	https://www.uniprot.org/uniprotkb/O75083/entry
MX1	MX1	Mapeado	P20591	MX1_HUMAN	Swiss-Prot (Reviewed)	Interferon-induced GTP-binding protein Mx1	MX1		662	https://www.uniprot.org/uniprotkb/P20591/entry
SIAH1	SIAH1	Mapeado	Q8IUQ4	SIAH1_HUMAN	Swiss-Prot (Reviewed)	E3 ubiquitin-protein ligase SIAH1	SIAH1	HUMSIAH	282	https://www.uniprot.org/uniprotkb/Q8IUQ4/entry
ZNF316	ZNF316	Mapeado	A6NFI3	ZN316_HUMAN	Swiss-Prot (Reviewed)	Zinc finger protein 316	ZNF316		1004	https://www.uniprot.org/uniprotkb/A6NFI3/entry
TPT1	TPT1	Mapeado	P13693	TCTP_HUMAN	Swiss-Prot (Reviewed)	Translationally-controlled tumor protein	TPT1		172	https://www.uniprot.org/uniprotkb/P13693/entry
NT5C3A	NT5C3A	Mapeado	Q9H0P0	5NT3A_HUMAN	Swiss-Prot (Reviewed)	Cytosolic 5'-nucleotidase 3A	NT5C3A	NT5C3, P5N1, UMPH1	336	https://www.uniprot.org/uniprotkb/Q9H0P0/entry
ATOX1	ATOX1	Mapeado	O00244	ATOX1_HUMAN	Swiss-Prot (Reviewed)	Copper transport protein ATOX1	ATOX1	HAH1	68	https://www.uniprot.org/uniprotkb/O00244/entry
TALDO1	TALDO1	Mapeado	P37837	TALDO_HUMAN	Swiss-Prot (Reviewed)	Transaldolase	TALDO1	TAL, TALDO, TALDOR	337	https://www.uniprot.org/uniprotkb/P37837/entry
RAC1	RAC1	Mapeado	P63000	RAC1_HUMAN	Swiss-Prot (Reviewed)	Ras-related C3 botulinum toxin substrate 1	RAC1	TC25	192	https://www.uniprot.org/uniprotkb/P63000/entry
RPL36AL	RPL36AL	Mapeado	Q969Q0	RL36L_HUMAN	Swiss-Prot (Reviewed)	Ribosomal protein eL42-like	RPL36AL		106	https://www.uniprot.org/uniprotkb/Q969Q0/entry
NMI	NMI	Mapeado	Q13287	NMI_HUMAN	Swiss-Prot (Reviewed)	N-myc-interactor	NMI		307	https://www.uniprot.org/uniprotkb/Q13287/entry
ARHGEF3	ARHGEF3	Mapeado	Q9NR81	ARHG3_HUMAN	Swiss-Prot (Reviewed)	Rho guanine nucleotide exchange factor 3	ARHGEF3		526	https://www.uniprot.org/uniprotkb/Q9NR81/entry
DNAJA2	DNAJA2	Mapeado	O60884	DNJA2_HUMAN	Swiss-Prot (Reviewed)	DnaJ homolog subfamily A member 2	DNAJA2	CPR3, HIRIP4	412	https://www.uniprot.org/uniprotkb/O60884/entry
PPARD	PPARD	Mapeado	Q03181	PPARD_HUMAN	Swiss-Prot (Reviewed)	Peroxisome proliferator-activated receptor delta	PPARD	NR1C2, PPARB	441	https://www.uniprot.org/uniprotkb/Q03181/entry
TPST2	TPST2	Mapeado	O60704	TPST2_HUMAN	Swiss-Prot (Reviewed)	Protein-tyrosine sulfotransferase 2	TPST2		377	https://www.uniprot.org/uniprotkb/O60704/entry
